id,word,year,word_usage_at_year,total_words_at_year,word_frequency_at_year
11097,ενιοισι,-592.0,21.0,55003.0,0.0003817973483819
11097,ενιοισι,-560.0,0.0,12186.0,0.0
11097,ενιοισι,-550.0,9.0,66569.0,0.0001351980608887
11097,ενιοισι,-500.0,0.0,10729.0,0.0
11097,ενιοισι,-490.0,0.0,45822.0,0.0
11097,ενιοισι,-479.0,1.0,72501.0,1.3792912795906886e-05
11097,ενιοισι,-478.0,71.0,65575.0,0.0010827296646311
11097,ενιοισι,-450.0,0.0,7513.0,0.0
11097,ενιοισι,-443.0,0.0,195.0,0.0
11097,ενιοισι,-440.0,0.0,106.0,0.0
11097,ενιοισι,-429.0,0.0,1887.0,0.0
11097,ενιοισι,-415.0,1.0,28324.0,3.530574758769944e-05
11097,ενιοισι,-406.0,0.0,12.0,0.0
11097,ενιοισι,-387.0,0.0,2165.0,0.0
11097,ενιοισι,-355.0,1.0,12131.0,8.243343472713605e-05
11097,ενιοισι,-353.0,30.0,200430.0,0.0001496781915193
11097,ενιοισι,-350.0,0.0,4465.0,0.0
11097,ενιοισι,-329.0,50.0,80601.0,0.0006203397060744
11097,ενιοισι,-325.0,0.0,8414.0,0.0
11097,ενιοισι,-316.0,2.0,2481.0,0.000806126568932
11097,ενιοισι,-300.0,0.0,52020.0,0.0
11097,ενιοισι,-275.0,0.0,73.0,0.0
11097,ενιοισι,-270.0,0.0,3352.0,0.0
11097,ενιοισι,-266.0,2.0,787546.0,2.5395343072887044e-06
11097,ενιοισι,-249.0,0.0,26369.0,0.0
11097,ενιοισι,-218.0,11.0,59925.0,0.0001835627917898
11097,ενιοισι,-200.0,0.0,19729.0,0.0
11097,ενιοισι,-155.0,4.0,22130.0,0.000180750110303
11097,ενιοισι,-150.0,1.0,2237.0,0.0004470272688195
11097,ενιοισι,-149.0,1.0,5545.0,0.0001803426566766
11097,ενιοισι,-148.0,0.0,11087.0,0.0
11097,ενιοισι,-138.0,0.0,1583.0,0.0
11097,ενιοισι,-100.0,0.0,22527.0,0.0
11097,ενιοισι,-87.0,0.0,372.0,0.0
