id,word,year,word_usage_at_year,total_words_at_year,word_frequency_at_year
12715,επιστασει,-592.0,0.0,55003.0,0.0
12715,επιστασει,-560.0,0.0,12186.0,0.0
12715,επιστασει,-550.0,1.0,66569.0,1.5022007573861629e-05
12715,επιστασει,-500.0,0.0,10729.0,0.0
12715,επιστασει,-490.0,0.0,45822.0,0.0
12715,επιστασει,-479.0,0.0,72501.0,0.0
12715,επιστασει,-478.0,0.0,65575.0,0.0
12715,επιστασει,-450.0,0.0,7513.0,0.0
12715,επιστασει,-443.0,0.0,195.0,0.0
12715,επιστασει,-440.0,0.0,106.0,0.0
12715,επιστασει,-429.0,0.0,1887.0,0.0
12715,επιστασει,-415.0,0.0,28324.0,0.0
12715,επιστασει,-406.0,0.0,12.0,0.0
12715,επιστασει,-387.0,0.0,2165.0,0.0
12715,επιστασει,-355.0,0.0,12131.0,0.0
12715,επιστασει,-353.0,0.0,200430.0,0.0
12715,επιστασει,-350.0,0.0,4465.0,0.0
12715,επιστασει,-329.0,0.0,80601.0,0.0
12715,επιστασει,-325.0,0.0,8414.0,0.0
12715,επιστασει,-316.0,0.0,2481.0,0.0
12715,επιστασει,-300.0,0.0,52020.0,0.0
12715,επιστασει,-275.0,0.0,73.0,0.0
12715,επιστασει,-270.0,0.0,3352.0,0.0
12715,επιστασει,-266.0,1.0,787546.0,1.2697671536443522e-06
12715,επιστασει,-249.0,0.0,26369.0,0.0
12715,επιστασει,-218.0,0.0,59925.0,0.0
12715,επιστασει,-200.0,0.0,19729.0,0.0
12715,επιστασει,-155.0,1.0,22130.0,4.518752757576294e-05
12715,επιστασει,-150.0,0.0,2237.0,0.0
12715,επιστασει,-149.0,0.0,5545.0,0.0
12715,επιστασει,-148.0,0.0,11087.0,0.0
12715,επιστασει,-138.0,0.0,1583.0,0.0
12715,επιστασει,-100.0,1.0,22527.0,4.4391174014890566e-05
12715,επιστασει,-87.0,0.0,372.0,0.0
12715,επιστασει,-75.0,1.0,23058.0,4.336889469414018e-05
12715,επιστασει,-64.0,0.0,1019.0,0.0
12715,επιστασει,-50.0,3.0,860668.0,3.4856645925174234e-06
12715,επιστασει,-34.0,0.0,15303.0,0.0
12715,επιστασει,-20.0,0.0,30816.0,0.0
12715,επιστασει,15.0,0.0,474845.0,0.0
12715,επιστασει,49.0,0.0,4576.0,0.0
12715,επιστασει,50.0,0.0,45715.0,0.0
12715,επιστασει,65.0,0.0,259529.0,0.0
12715,επιστασει,75.0,0.0,445.0,0.0
12715,επιστασει,80.0,0.0,6613.0,0.0
12715,επιστασει,90.0,0.0,27410.0,0.0
12715,επιστασει,100.0,0.0,43916.0,0.0
12715,επιστασει,112.0,0.0,1034.0,0.0
12715,επιστασει,115.0,0.0,31254.0,0.0
12715,επιστασει,127.0,0.0,14129.0,0.0
12715,επιστασει,130.0,0.0,262334.0,0.0
12715,επιστασει,132.0,0.0,56086.0,0.0
12715,επιστασει,135.0,3.0,187439.0,1.6005207726266235e-05
12715,επιστασει,147.0,0.0,38048.0,0.0
12715,επιστασει,150.0,0.0,467611.0,0.0
12715,επιστασει,152.0,2.0,160384.0,1.24700718515669e-05
12715,επιστασει,161.0,0.0,18643.0,0.0
12715,επιστασει,166.0,0.0,6903.0,0.0
12715,επιστασει,171.0,0.0,511.0,0.0
12715,επιστασει,172.0,0.0,75670.0,0.0
12715,επιστασει,175.0,0.0,14091.0,0.0
12715,επιστασει,182.0,0.0,14884.0,0.0
12715,επιστασει,200.0,3.0,620952.0,4.831291334994603e-06
12715,επιστασει,202.0,0.0,102974.0,0.0
12715,επιστασει,205.0,0.0,294730.0,0.0
12715,επιστασει,209.0,0.0,174403.0,0.0
12715,επιστασει,219.0,2.0,718262.0,2.784499201879953e-06
12715,επιστασει,237.0,1.0,52346.0,1.910365608637221e-05
12715,επιστασει,241.0,0.0,17760.0,0.0
12715,επιστασει,249.0,0.0,2930.0,0.0
12715,επιστασει,250.0,0.0,39649.0,0.0
12715,επιστασει,269.0,0.0,101480.0,0.0
12715,επιστασει,285.0,0.0,8513.0,0.0
12715,επιστασει,295.0,0.0,39278.0,0.0
12715,επιστασει,299.0,0.0,317768.0,0.0
12715,επιστασει,311.0,0.0,64692.0,0.0
12715,επιστασει,320.0,0.0,37806.0,0.0
12715,επιστασει,335.0,0.0,20133.0,0.0
12715,επιστασει,350.0,0.0,800937.0,0.0
12715,επιστασει,352.0,0.0,133955.0,0.0
12715,επιστασει,359.0,0.0,96823.0,0.0
12715,επιστασει,360.0,0.0,1780.0,0.0
12715,επιστασει,361.0,0.0,290906.0,0.0
12715,επιστασει,375.0,0.0,10098.0,0.0
12715,επιστασει,383.0,0.0,47699.0,0.0
12715,επιστασει,391.0,1.0,9234.0,0.000108295433165
12715,επιστασει,395.0,0.0,7107.0,0.0
12715,επιστασει,400.0,0.0,5212.0,0.0
12715,επιστασει,403.0,0.0,32132.0,0.0
12715,επιστασει,410.0,0.0,203656.0,0.0
12715,επιστασει,415.0,0.0,10964.0,0.0
12715,επιστασει,425.0,0.0,261307.0,0.0
12715,επιστασει,440.0,0.0,775.0,0.0
12715,επιστασει,447.0,0.0,5184.0,0.0
12715,επιστασει,448.0,1.0,49230.0,2.031281655945349e-05
12715,επιστασει,483.0,3.0,423015.0,7.091947281878674e-06
12715,επιστασει,490.0,0.0,96061.0,0.0
12715,επιστασει,497.0,1.0,67653.0,1.4781310710532123e-05
12715,επιστασει,500.0,2.0,9967.0,0.00020066217985
12715,επιστασει,530.0,1.0,630582.0,1.5858365713938838e-06
12715,επιστασει,550.0,0.0,154067.0,0.0
12715,επιστασει,560.0,0.0,73607.0,0.0
12715,επιστασει,650.0,0.0,268427.0,0.0
12715,επιστασει,950.0,0.0,658137.0,0.0
12715,επιστασει,1105.0,0.0,60131.0,0.0
12715,επιστασει,1118.0,0.0,182148.0,0.0
12715,επιστασει,1127.0,0.0,36878.0,0.0
12715,επιστασει,1150.0,0.0,21554.0,0.0
12715,επιστασει,1830.0,0.0,14987.0,0.0
12715,επιστασει,1885.0,0.0,3924.0,0.0
